chapter,sequence,status,artist,title,recording_year,version_notes,youtube_url,tidal_url,verification_status,notes
1,1,DOGGETT,George J. Gaskin,After the Ball,1893,"Period George J. Gaskin performance; described as 1893 brown-wax cylinder transfer",https://youtu.be/soxPknRyH-k,,youtube_verified,"Preferred playable version. Supporting sources: https://archive.org/details/AfterTheBallByGeorgeJ.Gaskin1893 ; http://www.library.ucsb.edu/OBJID/Cylinder8097 ; https://en.wikipedia.org/wiki/After_the_Ball_(song) ; alternate scratchier YouTube transfer https://youtu.be/4YXFqT3PexY"
1,2,UNAVAILABLE,John Yorke AtLee,After the Ball,,,,,no_surviving_recording,"Doggett discusses AtLee's whistled performance of the song, but no surviving recording is known. Retain in chapter research notes as historically significant; exclude from playable playlist rather than substitute a proxy."
1,3,CONTEXT,George W. Johnson,The Laughing Song,,"Preferred historical transfer selected; exact recording date/version still to verify",https://youtu.be/4yvOMwHsh1A,,youtube_verified_date_pending,"George Washington Johnson (1846–1914), pioneering African American recording artist and widely described as the first African American phonograph recording star. Supporting sources: http://www.library.ucsb.edu/OBJID/Cylinder17216 ; https://digitalcollections.nypl.org/items/5c9be900-c58f-012f-35fb-58d385a7bc34 ; https://en.wikipedia.org/wiki/George_W._Johnson_(singer). Period marketing used overtly racist language, including 'the original whistling coon and laughing darkey'; retain this wording only as documented historical context, not as present-day description."
1,4,CONTEXT,George W. Johnson,The Whistling Coon,,"Preferred historical transfer selected; exact recording date/version still to verify",https://youtu.be/hDoCaeVnNy4,,youtube_verified_date_pending,"Johnson's other signature recording. Lyrics are explicitly racist and dehumanising; retain the track because this repertoire is central evidence of the racial caricature embedded in the early commercial recording business. Supporting sources: https://genius.com/George-w-johnson-the-whistling-coon-lyrics ; https://www.npr.org/transcripts/5224572"
1,5,CONTEXT,Emile Berliner,"Twinkle, Twinkle Little Star",,"Early Berliner disc performance; exact date/catalogue details still to verify",https://youtu.be/mSrEgDxGl8U,,youtube_verified_date_pending,"Technological artefact from the emergence of the lateral-cut gramophone disc. Supporting sources: https://www.loc.gov/static/programs/national-recording-preservation-board/documents/LordsPrayer_TwinkleTwinkleLittleStar.pdf ; https://www.clpgs.org.uk/concert-no7---berliner-5-discs.html ; https://soundofthehound.com/2011/05/20/emile-berliner-cuts-the-first-discs-tvinkle-tvinkle-little-star-how-i-vunder-vot-you-are/ ; alternate YouTube transfer https://youtu.be/T61TYOVtF3Y. CLPGS notes a Berliner disc whose reverse label lists 'Heil Dir' and 'God Save the Queen', sharing the same tune — a neat reminder of the melody's German/British royal history."
1,6,UNAVAILABLE,Katie Lawrence,Daisy Bell (A Bicycle Built for Two),,,,,no_surviving_recording_found,"Lawrence is part of Doggett's discussion, but no recording by her has been located. Supporting sources: https://www.musichallstudies.co.uk/issue/issue-8 ; https://daisy.audio/blogs/seeds-n-circuits/why-is-it-called-daisy ; https://secondhandsongs.com/performance/535650/all. Retain as historical research entry; do not present another singer as Lawrence."
1,6.1,CONTEXT,Dan W. Quinn,Daisy Bell (A Bicycle Built for Two),1893,"Surviving period recording; uploader states recorded September 16, 1893 and describes Quinn as having the original hit",https://youtu.be/b732XpLeWPk,,youtube_verified_date_source_pending,"Use as an explicitly labelled contextual substitute for the lost/unlocated Katie Lawrence performance: a near-contemporary surviving recording of the same song, not a proxy for Lawrence's voice. Date should be independently checked when convenient."
1,7,CONTEXT,Vesta Victoria,Daddy Wouldn't Buy Me a Bow-Wow,,"Preferred Vesta Victoria transfer selected; exact recording date/version still to verify",https://youtu.be/HhdrqldbTzg,,youtube_verified_date_pending,"British music-hall star and one of the performers Doggett uses to illustrate celebrity and recognisable persona before modern recording-star culture. Supporting sources: https://folksongandmusichall.com/index.php/daddy-wouldnt-buy-me-a-bow-wow/ ; https://intothelimelight.org/2016/04/30/vesta-victoria/"
1,8,DOGGETT,Harry Champion,Have You Paid the Rent?,,"Preferred transfer is second song in a two-song YouTube upload; timestamped link starts at 3:00",https://youtu.be/pCSuaa0B6gU?t=180,,youtube_verified_date_pending,"Working-class music-hall material explicitly connected with Champion in Doggett's discussion. Supporting sources: https://grainger.de/music/composers/championh.html ; historical context: https://normandie-univ.hal.science/hal-02565262v1/document . Exact recording date/version still to verify."
1,9,DOGGETT,Marie Lloyd,A Little of What You Fancy Does You Good,,,,,to_verify,"Exact period recording needed"
1,10,DOGGETT,Albert Chevalier,My Old Dutch,,,,,to_verify,"Exact period recording needed"
1,11,DOGGETT,Harry Lauder,I Love a Lassie,,,,,to_verify,"Exact period recording needed"
1,12,CONTEXT,Dan W. Quinn,The Band Played On,,,,,to_verify,"American commercial recording culture and the rise of prolific specialist recording singers"
1,13,CONTEXT,Len Spencer,A Hot Time in the Old Town,,,,,to_verify,"Vaudeville/publishing/recording context"
1,14,CONTEXT,Arthur Collins,The Preacher and the Bear,,,,,to_verify,"Early recording-star context and racial-caricature history"
1,15,CONTEXT,Billy Golden,Turkey in the Straw,,,,,to_verify,"Talking-machine novelty repertoire"
1,16,CONTEXT,Sousa's Band,The Stars and Stripes Forever,,,,,to_verify,"Instrumental-band catalogue context"
1,17,CONTEXT,Sousa's Band,Washington Post March,,,,,to_verify,"Optional; may be cut in final sequence"
1,18,PROXY,Franz Lehár / period orchestra,The Merry Widow Waltz,,,,,to_verify,"Prefer an early c.1907-10 recording"
1,19,CONTEXT,Enrico Caruso,Vesti la giubba,,,,,to_verify,"Choose historically appropriate transfer"
1,20,CONTEXT,Enrico Caruso,O Sole Mio,,,,,to_verify,"Proposed closer; choose historically appropriate transfer"
